iter	Passed	Remaining
0	0	856
1	1	776
2	2	767
3	3	751
4	3	745
5	4	738
6	5	730
7	5	737
8	6	730
9	7	728
10	8	721
11	8	722
12	9	722
13	10	721
14	11	729
15	12	748
16	13	771
17	14	770
18	14	767
19	15	772
20	17	792
21	18	801
22	18	795
23	19	789
24	20	783
25	20	779
26	21	772
27	22	767
28	22	762
29	23	759
30	24	756
31	24	754
32	25	753
33	26	756
34	28	773
35	28	772
36	30	782
37	30	780
38	31	777
39	32	773
40	32	769
41	33	766
42	34	762
43	35	760
44	35	757
45	36	755
46	37	752
47	37	750
48	38	750
49	39	749
50	40	746
51	40	744
52	42	750
53	42	750
54	43	753
55	44	751
56	45	748
57	45	746
58	46	743
59	47	741
60	48	739
61	48	737
62	49	734
63	50	732
64	50	730
65	51	729
66	52	728
67	53	730
68	54	728
69	54	726
70	55	725
71	56	724
72	57	726
73	57	725
74	58	723
75	59	721
76	60	719
77	60	717
78	61	715
79	62	713
80	62	711
81	63	710
82	63	705
83	64	703
84	65	702
85	65	700
86	66	699
87	67	697
88	68	697
89	68	695
90	69	693
91	70	691
92	70	691
93	71	690
94	72	692
95	73	691
96	74	689
97	74	686
98	75	684
99	75	682
100	76	680
101	77	678
102	77	676
103	78	674
104	78	672
105	79	670
106	80	668
107	80	666
108	81	664
109	81	662
110	82	661
111	83	659
112	83	657
113	84	655
114	85	655
115	86	658
116	87	657
117	87	657
118	88	656
119	89	654
120	89	652
121	90	649
122	90	648
123	91	646
124	92	644
125	92	643
126	93	640
127	93	638
128	94	637
129	95	637
130	96	639
131	97	638
132	97	636
133	98	635
134	99	634
135	99	633
136	100	635
137	101	634
138	102	633
139	102	631
140	103	630
141	104	628
142	104	628
143	105	629
144	106	629
145	107	628
146	108	627
147	108	625
148	109	624
149	109	622
150	110	621
151	111	620
152	111	618
153	112	617
154	112	615
155	113	614
156	114	613
157	115	617
158	116	617
159	117	618
160	119	624
161	120	623
162	121	622
163	121	621
164	122	620
165	123	618
166	123	617
167	124	615
168	124	614
169	125	613
170	126	611
171	126	610
172	127	609
173	129	614
174	130	613
175	131	613
176	131	612
177	132	611
178	132	609
179	133	608
180	134	606
181	134	605
182	135	604
183	135	602
184	136	601
185	137	599
186	137	598
187	138	597
188	138	595
189	139	594
190	140	593
191	140	592
192	141	591
193	142	590
194	142	589
195	143	590
196	144	589
197	145	587
198	145	586
199	146	585
200	146	584
201	147	582
202	148	581
203	148	580
204	149	579
205	149	577
206	150	576
207	151	575
208	151	574
209	152	573
210	152	571
211	153	570
212	154	569
213	154	568
214	155	567
215	156	566
216	156	565
217	157	564
218	158	563
219	158	562
220	159	563
221	160	562
222	161	561
223	161	560
224	162	559
225	162	557
226	163	556
227	164	555
228	164	554
229	165	554
230	166	554
231	167	553
232	167	551
233	168	550
234	168	549
235	169	548
236	170	547
237	170	546
238	171	545
239	172	544
240	173	546
241	174	545
242	174	544
243	175	543
244	176	542
245	176	541
246	177	540
247	177	539
248	178	538
249	179	537
250	179	535
251	180	534
252	180	533
253	181	532
254	181	531
255	182	530
256	183	529
257	183	529
258	184	528
259	185	527
260	185	526
261	186	526
262	187	526
263	188	525
264	189	524
265	189	523
266	190	522
267	190	521
268	191	520
269	192	519
270	192	518
271	193	518
272	194	517
273	194	516
274	195	515
275	195	514
276	196	513
277	197	512
278	197	511
279	198	510
280	199	509
281	199	508
282	200	507
283	201	506
284	201	506
285	202	505
286	203	504
287	203	503
288	204	503
289	205	503
290	207	504
291	207	503
292	208	502
293	209	502
294	209	501
295	210	500
296	210	499
297	211	498
298	212	497
299	213	497
300	213	496
301	214	495
302	214	494
303	215	493
304	216	493
305	217	492
306	218	492
307	219	492
308	220	492
309	220	491
310	221	490
311	222	489
312	222	488
313	223	487
314	223	486
315	224	485
316	225	484
317	225	484
318	226	483
319	227	482
320	227	482
321	228	481
322	229	480
323	229	479
324	230	478
325	231	478
326	232	478
327	233	477
328	233	476
329	234	475
330	234	474
331	235	474
332	236	473
333	236	472
334	237	471
335	237	470
336	238	469
337	239	468
338	239	467
339	240	466
340	241	465
341	241	464
342	242	463
343	242	463
344	243	462
345	244	461
346	244	460
347	245	460
348	246	459
349	246	458
350	247	457
351	248	457
352	249	456
353	250	456
354	250	455
355	251	454
356	251	453
357	252	452
358	253	452
359	253	451
360	254	450
361	255	449
362	255	448
363	256	447
364	256	446
365	257	446
366	258	445
367	258	444
368	259	443
369	260	443
370	261	442
371	261	442
372	262	441
373	263	441
374	264	440
375	264	439
376	265	438
377	266	437
378	266	437
379	267	436
380	267	435
381	268	434
382	269	433
383	269	432
384	270	431
385	270	430
386	271	430
387	272	429
388	272	428
389	273	427
390	275	428
391	276	428
392	276	427
393	277	426
394	278	426
395	278	425
396	279	424
397	281	425
398	282	424
399	282	424
400	283	423
401	283	422
402	284	421
403	285	420
404	285	419
405	286	418
406	286	418
407	287	417
408	288	416
409	289	416
410	290	416
411	291	415
412	291	414
413	292	413
414	293	413
415	293	412
416	294	411
417	294	410
418	295	409
419	295	408
420	296	407
421	297	407
422	297	406
423	298	405
424	298	404
425	299	403
426	300	402
427	300	402
428	301	401
429	303	401
430	303	401
431	304	400
432	305	400
433	306	399
434	307	398
435	307	397
436	308	397
437	308	396
438	309	395
439	310	394
440	310	393
441	311	393
442	312	392
443	312	391
444	313	391
445	314	390
446	314	389
447	315	388
448	316	388
449	316	387
450	317	386
451	318	386
452	319	385
453	320	385
454	320	384
455	321	383
456	321	382
457	322	381
458	323	380
459	323	380
460	324	379
461	325	378
462	325	377
463	326	376
464	326	376
465	327	375
466	328	374
467	328	373
468	329	372
469	329	372
470	330	371
471	331	370
472	331	369
473	333	369
474	333	368
475	334	368
476	335	367
477	335	366
478	336	365
479	337	365
480	337	364
481	338	363
482	338	362
483	339	361
484	340	361
485	340	360
486	341	359
487	341	358
488	342	358
489	343	357
490	343	356
491	344	355
492	345	354
493	345	354
494	346	353
495	347	352
496	348	352
497	348	351
498	349	351
499	350	350
500	350	349
501	351	348
502	352	347
503	352	347
504	353	346
505	354	345
506	354	344
507	355	344
508	355	343
509	356	342
510	357	341
511	357	341
512	358	340
513	359	339
514	360	339
515	360	338
516	361	337
517	362	337
518	363	336
519	363	335
520	364	335
521	365	334
522	366	334
523	366	333
524	367	332
525	368	331
526	368	330
527	369	330
528	369	329
529	370	328
530	371	328
531	372	327
532	372	326
533	373	325
534	373	325
535	374	324
536	375	323
537	375	322
538	376	322
539	377	321
540	378	320
541	381	322
542	382	321
543	383	321
544	383	320
545	384	319
546	385	318
547	385	318
548	386	317
549	387	316
550	387	316
551	388	315
552	389	314
553	390	314
554	392	314
555	393	313
556	393	313
557	394	312
558	397	313
559	398	313
560	399	312
561	399	311
562	400	310
563	401	310
564	401	309
565	402	308
566	403	307
567	403	307
568	404	306
569	405	305
570	406	305
571	407	304
572	408	304
573	409	303
574	409	302
575	410	302
576	411	301
577	412	300
578	412	300
579	413	299
580	414	298
581	415	298
582	416	297
583	417	297
584	417	296
585	418	295
586	419	295
587	420	294
588	421	294
589	422	293
590	423	292
591	423	292
592	424	291
593	425	290
594	425	289
595	426	289
596	427	288
597	429	288
598	430	288
599	431	287
600	432	286
601	433	286
602	434	286
603	435	285
604	437	285
605	439	285
606	441	285
